Technology Name,Source,Definition
Designer phages,WEF Top 10 Emerging Technologies 2023,Designer phages are specially engineered viruses that can target and destroy specific bacteria.
Digital Immune System,Gartner Hype Cycle 2024,"A Digital Immune System is a combination of tools and technologies that protect computer systems from viruses and other cyber threats, similar to how our body's immune system defends against illness."
Digital Twin of a Customer,Gartner Hype Cycle 2024,"A Digital Twin of a Customer is a virtual representation of a customer that uses data to mimic their behaviors, preferences, and interactions with a company."
Disease-Diagnosing Breath Sensors,WEF Top 10 Emerging Technologies 2021,Disease-diagnosing breath sensors are devices that analyze a person's breath to detect specific diseases based on the chemical compounds present.
Disinformation Security,Gartner Hype Cycle 2024,Disinformation Security refers to protecting information from being manipulated or spread misleadingly to create confusion or harm.
Elastocalorics,WEF Top 10 Emerging Technologies 2024,Elastocalorics are materials that can absorb or release heat when they are stretched or compressed.
Energy Harvesting from Wireless Signals,WEF Top 10 Emerging Technologies 2021,Energy harvesting from wireless signals is the process of capturing and converting energy from radio waves or other wireless signals into usable electrical power.
Engineering Better Aging,WEF Top 10 Emerging Technologies 2021,Engineering Better Aging is the effort to use science and technology to help people live healthier and longer lives as they get older.
Federated Machine Learning,Gartner Hype Cycle 2024,Federated Machine Learning is a way for different devices to work together to improve a machine learning model without sharing their personal data with each other.
Flexible batteries,WEF Top 10 Emerging Technologies 2023,"Flexible batteries are lightweight, bendable power sources that can be shaped and used in various devices and applications."
Flexible neural electronics,WEF Top 10 Emerging Technologies 2023,"Flexible neural electronics are advanced, bendable devices that can connect with the nervous system to monitor or influence brain activity."
Generative artificial intelligence,WEF Top 10 Emerging Technologies 2023,"Generative artificial intelligence is a type of computer technology that can create new content, like text, images, or music, by learning from examples."
Genomics for Transplants,WEF Top 10 Emerging Technologies 2024,Genomics for Transplants is the study of genes that helps doctors understand how to match organ donors and recipients to improve the chances of a successful transplant.
GitOps,Gartner Hype Cycle 2024,GitOps is a way to manage and deploy software using Git as the single source of truth for all your infrastructure and application code.
Green Ammonia,WEF Top 10 Emerging Technologies 2021,Green ammonia is ammonia produced using renewable energy sources and without emitting carbon dioxide.
High-Altitude Platform Stations,WEF Top 10 Emerging Technologies 2024,High-Altitude Platform Stations (HAPS) are unmanned aircraft or balloons that operate high in the sky to provide services like internet and communication over large areas.
Homomorphic Encryption,Gartner Hype Cycle 2024,Homomorphic Encryption is a method of encryption that allows you to perform calculations on encrypted data without needing to decrypt it first.
Humanoid Working Robots,Gartner Hype Cycle 2024,"Humanoid working robots are machines designed to look and move like people, and they can perform tasks typically done by humans."
Immersive Technology for the Built Worls,WEF Top 10 Emerging Technologies 2024,Immersive Technology for the Built World refers to advanced tools like virtual reality and augmented reality that create realistic experiences for designing and exploring buildings and spaces.
Integrated Sensing and Communcation,WEF Top 10 Emerging Technologies 2024,Integrated Sensing and Communication is a technology that combines gathering information from the environment with sharing that information over communication networks to improve efficiency and performance.
Internal Developer Portals,Gartner Hype Cycle 2024,"An Internal Developer Portal is a centralized online space where software developers in a company can access tools, resources, and information to help them build and manage applications more efficiently."
Large Action Models,Gartner Hype Cycle 2024,Large Action Models are advanced computer programs that can understand and generate human-like actions or responses based on large amounts of data.
Machine Customers,Gartner Hype Cycle 2024,Machine Customers are automated systems or software that can make purchasing decisions on behalf of humans or businesses.
Metaverse for mental health,WEF Top 10 Emerging Technologies 2023,"The Metaverse for mental health is a virtual space where people can connect, share, and access mental health resources and support through immersive technology."
Multiagent Systems,Gartner Hype Cycle 2024,Multiagent Systems are groups of multiple computer programs or robots that work together to solve problems or achieve tasks.
On-Demand Drug Manufacturing,WEF Top 10 Emerging Technologies 2021,"On-Demand Drug Manufacturing is a process that allows medications to be made quickly and specifically when they are needed, instead of being produced in large quantities ahead of time."
Privacy-Enhancing Technologies,WEF Top 10 Emerging Technologies 2024,Privacy-Enhancing Technologies are tools and methods designed to protect your personal information and keep your online activities private.
Prompt Engineering,Gartner Hype Cycle 2024,Prompt Engineering is the practice of designing and refining questions or inputs to get the best possible responses from a language model or AI system.
Reconfigurable Intelligent-Surfaces,WEF Top 10 Emerging Technologies 2024,"Reconfigurable Intelligent Surfaces are smart, flat panels that can be adjusted to improve wireless communication by directing signals more efficiently."
Reinforcement Learning,Gartner Hype Cycle 2024,Reinforcement Learning is a type of computer training where an agent learns to make decisions by receiving rewards or punishments based on its actions in an environment.
Self-Fertilizing Crops,WEF Top 10 Emerging Technologies 2021,"Self-fertilizing crops are plants that can produce seeds from their own pollen, allowing them to reproduce without needing pollen from another plant."
Space-Based Connectivity,WEF Top 10 Emerging Technologies 2021,Space-Based Connectivity is the ability to access the internet or communicate using satellites orbiting the Earth instead of relying on ground-based infrastructure.
Spatial Computing,Gartner Hype Cycle 2024,"Spatial Computing is the technology that combines the physical world with digital information and interactions, allowing us to see and interact with virtual objects in real spaces."
Spatial omics,WEF Top 10 Emerging Technologies 2023,"Spatial omics is a scientific technique that helps researchers see where specific molecules, like genes or proteins, are located within a tissue sample."
Superapps,Gartner Hype Cycle 2024,"Superapps are all-in-one mobile applications that combine multiple services, like messaging, shopping, and banking, into one place for convenience."
Sustainable aviation fuel,WEF Top 10 Emerging Technologies 2023,Sustainable aviation fuel is a type of fuel made from renewable resources that helps reduce the environmental impact of flying.
Sustainable computing,WEF Top 10 Emerging Technologies 2023,Sustainable computing is the practice of using computers and technology in a way that minimizes harm to the environment and promotes responsible resource use.
Wearable plant sensors,WEF Top 10 Emerging Technologies 2023,Wearable plant sensors are devices that can be attached to plants to monitor their health and environmental conditions in real-time.
WebAssembly,Gartner Hype Cycle 2024,WebAssembly is a technology that allows web applications to run faster by using a special code format that works well in web browsers.
Wireless Biomarker Devices,WEF Top 10 Emerging Technologies 2021,"Wireless Biomarker Devices are tools that collect health-related information from the body without using wires, helping to monitor conditions like heart rate or glucose levels."
Advanced Computing,Critical ET Report USGov (https://www.govinfo.gov/content/pkg/CMR-PREX23-00185928/pdf/CMR-PREX23-00185928.pdf),Advanced Computing is the use of powerful technology and complex algorithms to solve challenging problems and process large amounts of data faster and more efficiently.
Advanced Engineering Materials,Critical ET Report USGov (https://www.govinfo.gov/content/pkg/CMR-PREX23-00185928/pdf/CMR-PREX23-00185928.pdf),Advanced Engineering Materials are specially designed materials that have improved properties to meet high-performance requirements in various engineering applications.
Advanced Gas Turbine Engine Technologies,Critical ET Report USGov (https://www.govinfo.gov/content/pkg/CMR-PREX23-00185928/pdf/CMR-PREX23-00185928.pdf),"Advanced Gas Turbine Engine Technologies refer to cutting-edge methods and materials used to design and improve gas turbine engines, making them more efficient and powerful for various applications like aviation and energy generation."
Advanced and Networked Sensing and Signature Management,Critical ET Report USGov (https://www.govinfo.gov/content/pkg/CMR-PREX23-00185928/pdf/CMR-PREX23-00185928.pdf),"Advanced and Networked Sensing and Signature Management refers to the use of advanced technology to detect, track, and manage various signals and information in our environment to improve awareness and decision-making."
Advanced Manufacturing,Critical ET Report USGov (https://www.govinfo.gov/content/pkg/CMR-PREX23-00185928/pdf/CMR-PREX23-00185928.pdf),"Advanced manufacturing refers to the use of modern technologies and methods to improve the production of goods, making it faster, more efficient, and often more precise."
Artificial Intelligence,Critical ET Report USGov (https://www.govinfo.gov/content/pkg/CMR-PREX23-00185928/pdf/CMR-PREX23-00185928.pdf),Artificial Intelligence is the ability of a computer or machine to mimic human thinking and behavior.
Biotechnologies,Critical ET Report USGov (https://www.govinfo.gov/content/pkg/CMR-PREX23-00185928/pdf/CMR-PREX23-00185928.pdf),"Biotechnologies are methods that use living things, like cells or bacteria, to create products or processes that help improve our lives, such as medicines or food."
Clean Energy Generation and Storage,Critical ET Report USGov (https://www.govinfo.gov/content/pkg/CMR-PREX23-00185928/pdf/CMR-PREX23-00185928.pdf),"Clean Energy Generation and Storage refers to the process of producing energy from renewable sources, like sunlight or wind, and storing it safely for future use without harming the environment."
"Data Privacy, Data Security, and Cybersecurity Technologies",Critical ET Report USGov (https://www.govinfo.gov/content/pkg/CMR-PREX23-00185928/pdf/CMR-PREX23-00185928.pdf),"Data Privacy is the right of individuals to control how their personal information is collected, used, and shared; Data Security involves protecting data from unauthorized access, breaches, or theft; Cybersecurity Technologies are tools and strategies designed to defend computers, networks, and data from cyber threats."
Directed Energy,Critical ET Report USGov (https://www.govinfo.gov/content/pkg/CMR-PREX23-00185928/pdf/CMR-PREX23-00185928.pdf),"Directed Energy is a technology that uses focused energy, like lasers or microwaves, to damage or destroy targets without physical projectiles."
"Highly Automated, Autonomous, and Uncrewed Systems (UxS), and Robotics",Critical ET Report USGov (https://www.govinfo.gov/content/pkg/CMR-PREX23-00185928/pdf/CMR-PREX23-00185928.pdf),"Highly Automated, Autonomous, and Uncrewed Systems (UxS) and Robotics refer to machines and vehicles that can operate independently or with minimal human intervention to perform tasks."
Human-Machine Interfaces,Critical ET Report USGov (https://www.govinfo.gov/content/pkg/CMR-PREX23-00185928/pdf/CMR-PREX23-00185928.pdf),Human-Machine Interfaces are the ways in which people interact and communicate with machines or computers.
Hypersonics,Critical ET Report USGov (https://www.govinfo.gov/content/pkg/CMR-PREX23-00185928/pdf/CMR-PREX23-00185928.pdf),"Hypersonics refers to the technology and science of objects moving at speeds greater than five times the speed of sound, or Mach 5."
Integrated Communication and Networking Technologies,Critical ET Report USGov (https://www.govinfo.gov/content/pkg/CMR-PREX23-00185928/pdf/CMR-PREX23-00185928.pdf),Integrated Communication and Networking Technologies refer to the combination of different tools and systems that allow people to communicate and share information seamlessly across various devices and platforms.
"Positioning, Navigation, and Timing (PNT) Technologies",Critical ET Report USGov (https://www.govinfo.gov/content/pkg/CMR-PREX23-00185928/pdf/CMR-PREX23-00185928.pdf),"Positioning, Navigation, and Timing (PNT) Technologies are systems that help determine your exact location, guide you to your destination, and keep track of time accurately."
Quantum Information and Enabling Technologies,Critical ET Report USGov (https://www.govinfo.gov/content/pkg/CMR-PREX23-00185928/pdf/CMR-PREX23-00185928.pdf),Quantum Information and Enabling Technologies is the study and application of quantum mechanics to process and transmit information in new and powerful ways.
Semiconductors and Microelectronics,Critical ET Report USGov (https://www.govinfo.gov/content/pkg/CMR-PREX23-00185928/pdf/CMR-PREX23-00185928.pdf),"Semiconductors are materials that can conduct electricity under certain conditions, and microelectronics refers to the tiny electronic components and circuits made from these materials that are used in devices like smartphones and computers."
Space Technologies and Systems,Critical ET Report USGov (https://www.govinfo.gov/content/pkg/CMR-PREX23-00185928/pdf/CMR-PREX23-00185928.pdf),"Space Technologies and Systems refer to the tools and methods used to explore, navigate, and utilize outer space, including satellites, rockets, and equipment for space research."
Cloud and Edge Computing,McKinsey Report (https://www.mckinsey.com/capabilities/mckinsey-digital/our-insights/the-top-trends-in-tech),"Cloud computing is the delivery of computing services over the internet, allowing users to store and access data on remote servers, while edge computing processes data closer to where it is generated, reducing latency and improving response times."
Advanced Connectivity,McKinsey Report (https://www.mckinsey.com/capabilities/mckinsey-digital/our-insights/the-top-trends-in-tech),Advanced Connectivity refers to enhanced methods and technologies that allow devices to communicate with each other more effectively and seamlessly.
Generative AI,McKinsey Report (https://www.mckinsey.com/capabilities/mckinsey-digital/our-insights/the-top-trends-in-tech),"Generative AI is a type of computer technology that can create new things like text, images, or music by learning from existing examples."
Applied AI,McKinsey Report (https://www.mckinsey.com/capabilities/mckinsey-digital/our-insights/the-top-trends-in-tech),Applied AI refers to the use of artificial intelligence technology to solve real-world problems and improve everyday tasks.
Next-Generation Software Development,McKinsey Report (https://www.mckinsey.com/capabilities/mckinsey-digital/our-insights/the-top-trends-in-tech),"Next-Generation Software Development refers to the use of advanced technologies and innovative practices to create software that is faster, more efficient, and better suited to meet the evolving needs of users and businesses."
Digital Trust and Cybersecurity,McKinsey Report (https://www.mckinsey.com/capabilities/mckinsey-digital/our-insights/the-top-trends-in-tech),"Digital Trust is the confidence users have in the security and reliability of digital interactions, while Cybersecurity is the practice of protecting computers, networks, and data from unauthorized access or attacks."
Electrification and Renewables,McKinsey Report (https://www.mckinsey.com/capabilities/mckinsey-digital/our-insights/the-top-trends-in-tech),"Electrification is the process of converting systems to use electricity for power instead of fossil fuels, while renewables refer to energy sources like wind, solar, and hydro that are naturally replenished and have less environmental impact."
Industrializing Machine Learning,McKinsey Report (https://www.mckinsey.com/capabilities/mckinsey-digital/our-insights/the-top-trends-in-tech),"Industrializing Machine Learning means taking machine learning models and processes and making them reliable, scalable, and easy to use in real-world applications."
Future of Mobility,McKinsey Report (https://www.mckinsey.com/capabilities/mckinsey-digital/our-insights/the-top-trends-in-tech),"Future of Mobility refers to the evolving ways people and goods will travel, using new technologies and methods that make transportation more efficient, sustainable, and accessible."
Climate Technologies Beyond Electrification,McKinsey Report (https://www.mckinsey.com/capabilities/mckinsey-digital/our-insights/the-top-trends-in-tech),"Climate Technologies Beyond Electrification refers to innovative solutions that help reduce greenhouse gas emissions and combat climate change without solely relying on electricity, such as carbon capture, hydrogen production, and biofuels."
Immersive-Reality Technologies,McKinsey Report (https://www.mckinsey.com/capabilities/mckinsey-digital/our-insights/the-top-trends-in-tech),"Immersive-reality technologies are digital tools that create realistic environments or experiences that make you feel like you're actually there, engaging your senses fully."
Future of Bioengineering,McKinsey Report (https://www.mckinsey.com/capabilities/mckinsey-digital/our-insights/the-top-trends-in-tech),"The future of bioengineering involves using technology and biology together to create new ways to improve health, develop treatments, and enhance living organisms."
Future of Robotics,McKinsey Report (https://www.mckinsey.com/capabilities/mckinsey-digital/our-insights/the-top-trends-in-tech),The future of robotics refers to the development of advanced machines that can perform tasks autonomously and work alongside humans to improve efficiency and quality of life.
Quantum technologies,McKinsey Report (https://www.mckinsey.com/capabilities/mckinsey-digital/our-insights/the-top-trends-in-tech),"Quantum technologies are advanced tools and systems that use the principles of quantum mechanics to perform tasks like computing, communication, and sensing in ways that are faster and more secure than traditional technologies."
Future of Space Technologies,McKinsey Report (https://www.mckinsey.com/capabilities/mckinsey-digital/our-insights/the-top-trends-in-tech),The Future of Space Technologies refers to the upcoming advancements and innovations in tools and methods that will enable us to explore and use space more effectively.
Low-Code And No-Code Platforms,Forbes Report 2024 (https://www.forbes.com/councils/forbestechcouncil/2024/11/15/20-emerging-tech-tools-and-trends-everyone-should-know-about/),"Low-Code and No-Code Platforms are tools that allow people to create software applications without needing to write much, or any, programming code."
The Metaverse,Forbes Report 2024 (https://www.forbes.com/councils/forbestechcouncil/2024/11/15/20-emerging-tech-tools-and-trends-everyone-should-know-about/),"The Metaverse is a virtual world where people can interact, play, work, and socialize using digital avatars."
Self-Healing Energy Grids,Forbes Report 2024 (https://www.forbes.com/councils/forbestechcouncil/2024/11/15/20-emerging-tech-tools-and-trends-everyone-should-know-about/),Self-Healing Energy Grids are smart electrical networks that automatically detect and fix problems to keep the power supply running smoothly.
Living Manufacturing,Forbes Report 2024 (https://www.forbes.com/councils/forbestechcouncil/2024/11/15/20-emerging-tech-tools-and-trends-everyone-should-know-about/),"Living Manufacturing is a way of producing goods using natural, self-replicating materials that can grow and adapt like living organisms."
The Circular Economy,Forbes Report 2024 (https://www.forbes.com/councils/forbestechcouncil/2024/11/15/20-emerging-tech-tools-and-trends-everyone-should-know-about/),"The Circular Economy is an approach to making and using things that focuses on reusing, recycling, and reducing waste to keep resources in use for as long as possible."
AR Smart Glasses,Forbes Report 2024 (https://www.forbes.com/councils/forbestechcouncil/2024/11/15/20-emerging-tech-tools-and-trends-everyone-should-know-about/),"AR Smart Glasses are special eyewear that overlays digital information onto the real world, enhancing what you see and interact with."
The IoT,Forbes Report 2024 (https://www.forbes.com/councils/forbestechcouncil/2024/11/15/20-emerging-tech-tools-and-trends-everyone-should-know-about/),"The Internet of Things (IoT) refers to the network of everyday devices that are connected to the internet, allowing them to collect and exchange data."
Quantum Computing,Forbes Report 2024 (https://www.forbes.com/councils/forbestechcouncil/2024/11/15/20-emerging-tech-tools-and-trends-everyone-should-know-about/),Quantum computing is a type of computing that uses the strange principles of quantum mechanics to process information in a way that is much faster and more powerful than traditional computers.
Implantable Microchips,Forbes Report 2024 (https://www.forbes.com/councils/forbestechcouncil/2024/11/15/20-emerging-tech-tools-and-trends-everyone-should-know-about/),Implantable microchips are tiny electronic devices that can be placed under the skin to store information and help with identification or tracking.
Personalized Health Platforms,Forbes Report 2024 (https://www.forbes.com/councils/forbestechcouncil/2024/11/15/20-emerging-tech-tools-and-trends-everyone-should-know-about/),Personalized Health Platforms are digital tools that help people manage their health by tailoring medical advice and services to their individual needs and preferences.
Blockchain,Forbes Report 2024 (https://www.forbes.com/councils/forbestechcouncil/2024/11/15/20-emerging-tech-tools-and-trends-everyone-should-know-about/),"Blockchain is a digital ledger technology that records information in a way that is secure, transparent, and tamper-proof, allowing multiple parties to access and verify the same data without the need for a central authority."
GenAI-Powered Healthcare Admin,Forbes Report 2024 (https://www.forbes.com/councils/forbestechcouncil/2024/11/15/20-emerging-tech-tools-and-trends-everyone-should-know-about/),"GenAI-Powered Healthcare Admin refers to the use of artificial intelligence to help manage and streamline tasks in healthcare administration, making processes more efficient and improving patient care."
GenUI,Forbes Report 2024 (https://www.forbes.com/councils/forbestechcouncil/2024/11/15/20-emerging-tech-tools-and-trends-everyone-should-know-about/),GenUI is a tool that helps people create user interfaces for applications easily and quickly without needing to be an expert in programming.
Auracast,Forbes Report 2024 (https://www.forbes.com/councils/forbestechcouncil/2024/11/15/20-emerging-tech-tools-and-trends-everyone-should-know-about/),Auracast is a technology that allows users to stream high-quality audio to multiple devices without needing cables.
Quantum Machine Learning,Forbes Report 2024 (https://www.forbes.com/councils/forbestechcouncil/2024/11/15/20-emerging-tech-tools-and-trends-everyone-should-know-about/),"Quantum Machine Learning is a field that combines quantum computing and machine learning to process information in ways that classical computers can't, potentially leading to faster and more accurate results."
LEO Satellite Networks,Forbes Report 2024 (https://www.forbes.com/councils/forbestechcouncil/2024/11/15/20-emerging-tech-tools-and-trends-everyone-should-know-about/),LEO Satellite Networks are systems of satellites orbiting close to the Earth that provide internet and communication services.
Multimodal Personal Agents,Forbes Report 2024 (https://www.forbes.com/councils/forbestechcouncil/2024/11/15/20-emerging-tech-tools-and-trends-everyone-should-know-about/),"Multimodal Personal Agents are smart digital assistants that can understand and respond through different types of communication, like voice, text, and images."
AI-Driven Diagnostics,Forbes Report 2024 (https://www.forbes.com/councils/forbestechcouncil/2024/11/15/20-emerging-tech-tools-and-trends-everyone-should-know-about/),AI-Driven Diagnostics refers to the use of artificial intelligence technology to analyze medical data and help doctors identify diseases or health conditions more accurately and quickly.
Solid-State Batteries,Forbes Report 2024 (https://www.forbes.com/councils/forbestechcouncil/2024/11/15/20-emerging-tech-tools-and-trends-everyone-should-know-about/),Solid-state batteries are energy storage devices that use solid materials instead of liquid or gel electrolytes to store and release electrical energy.
AI Copilots,Forbes Report 2024 (https://www.forbes.com/councils/forbestechcouncil/2024/11/15/20-emerging-tech-tools-and-trends-everyone-should-know-about/),AI Copilots are smart computer assistants that help people complete tasks more easily and efficiently by providing suggestions and support.
